oid,name,name_en,type,country,address_manual,home,district,subdistrict,town,street,addressline,metro,metro_line,metro_distance,metro_shirota,metro_dolgota,phone,www,email,description,description_en,obj_history,obj_history_en,work_time,for_disabled,coord_shirota,coord_dolgota,ogrn,inn
3285,Аничков Дворец,Anichkov Palace,Исторический,Россия,"Санкт-Петербург, Невский просп., 39 лит. А",39,Центральный район,муниципальный округ № 78,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 39",Гостиный Двор,Невско-Василеостровская линия,584.0,59.933938,30.333745,"8(812)310-93-80, 8(812)310-43-95.",www.anichkov.ru,anichkovmuz@mail.ru,"Старейшее здание на Невском проспекте, императорская резиденция","The oldest building on Nevsky prospekt, imperial palace",,,пн-сб 10:00-18:00,0,59.932723,30.341459,2147483647123,7840325991
3287,Воскресенский Новодевичий монастырь,Voskresensky Novodevichy Convent,Исторический,Россия,"196084, Санкт-Петербург, Московский проспект, 100 к.2",100к2,Московский район,муниципальный округ Московская Застава,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 100к2",Московские Ворота,Московско-Петроградская линия,801.0,59.891494,30.31797,Канцелярия: (812) 252-11-66,http://xn--b1aaahftai3akb6i.xn--p1ai/,Пресс-служба монастыря: priest-denis@yandex.ru,Действующий православный женский монастырь,Active Ortodox Convent,"Церковь Казанской иконы Божией Матери (Воскресенский Новодевичий женский монастырь)
Построена в 1908-1912 гг. Архитектор: Вас.А. Косяков","Church of Our Lady of Kazan (Voskresensky Novodevichy Convent)
It is constructed in 1908-1912. Architect: You. A. Kosyakov",09:00–18:00,0,59.89853,30.322101,1037858002698,7810387493
3290,Дом Радио,Radio house,Военно-исторический,Россия,"Санкт-Петербург, Малая Садовая улица, 2/27",2,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,Малая Садовая улица,"Санкт-Петербург, Малая Садовая улица, 2",Гостиный Двор,Невско-Василеостровская линия,379.0,59.933938,30.333745,,,,,,"Первоначально задние было построено для нужд Благородного собрания, затем оно неоднократно меняло своих владельцев и назначение, пока в 1932 году не было передано Ленинградскому радиоцентру. Радио занимало особое место в жизни блокадного Ленинграда в годы Великой Отечественной войны 1941-1945 гг. - связывало жителей города со страной, держало их в курсе событий, происходивший на «большой земле». В настоящее время из этого здания вещает радио «Петербург» и петербургский филиал Радио России. Также здесь находится открытая студия Пятого канала и так называемая приёмная губернатора (программа «Диалог с городом»). Здание построено в 1914 г. Архитекторы: В.А. Косяков, Г.А. Косяков","The originally back it was constructed for needs of Nobility assemly, then it repeatedly changed the owners and purpose while in 1932 it wasn't passed the Leningrad radio center. Radio took a special place in life of sieged Leningrad in days of the Great Patriotic War of 1941-1945 - connected residents with the country, kept them informed the events, occurring on ""continent"". Now from this building broadcasts radio ""Petersburg"" and the Petersburg branch of Radio of Russia. Also there is an open studio of the Fifth channel and a so-called reception of the governor (Dialogue with the City program). The building is built in 1914. Architects: V.A. Kosyakov, G. A. Kosyakov",,0,59.935402,30.33857,,
3295,Зимний дворец,Winter Palace,Обзорные,Россия,"Санкт-Петербург, пл. Дворцовая, 2",4,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,Дворцовая площадь,"Санкт-Петербург, Дворцовая площадь, 4",Адмиралтейская,Фрунзенско-Приморская линия,0,59.935867,30.31523,+7(812)7109763;,hermitagemuseum.org,,,,"Дворец, построенный в стиле пышного барокко, имеет вид замкнутого четырехугольника с просторным внутренним двором. Линии фронтонов украшены лепниной, большим количеством разнообразных ваз и статуй. Во дворце более 1000 залов и других помещений, представляющих собой историческую и художественную ценность. Зимний дворец был зимней резиденцией императора или императрицы. После 1917 г. здание дворца было реконструировано и приспособлено под размещение в нем музея – Государственного Эрмитажа. Построен в 1754-1762 гг. Архитектор: Ф.-Б. Растрелли","The palace built in style of magnificent baroque, has an appearance of the closed quadrangle with a spacious courtyard. Lines of pediments are decorated with a stucco molding, a large number of various vases and statues. In the palace more than 1000 halls and other rooms representing historical and art value. The Winter Palace was the winter residence of the emperor or the empress. After 1917 the building of the palace was reconstructed and adapted under museum placement in it – the State Hermitage. It is constructed in 1754-1762. Architect: F.-B. Rastrelli","вторник, четверг, суббота, воскресенье:
10:30 - 18:00
среда, пятница:
10:30 - 21:00
Музей закрыт: по понедельникам,
1 января, 9 мая",1,59.939741,30.314803,0,
3296,Смольный институт благородных девиц,Smolny institution for young ladies,Исторический,Россия,"191124, Санкт-Петербург, Смольный проезд, 1",1,Центральный район,муниципальный округ Смольнинское,Санкт-Петербург,Смольный проезд,"Санкт-Петербург, Смольный проезд, 1",Чернышевская,Кировско-Выборгская линия,0,59.944436,30.359975,"+7(812)5767746; +7(812)5767461; (Историко-мемориальный музей ""Смольный"")",,,Здание Смольного института построено в стиле классицизм в 1806-1808 годах по проекту архитектора Д. Кваренги. Институт работал в историческом здании до 1917 года. В наши дни в здании располагается Администрация Санкт-Петербурга,Smolny Institution was built in 1806-1808 by D. Quarenghi in classical style. The Institution had functioned till 1917. Nowadays this building is used by Government of St. Petersburg.,"«Императорское воспитательное общество благородных девиц» было учреждено 5 мая 1764 года указом Екатерины II по инициативе И.И. Бецкого и стало первым в России женским учебным заведением. Первоначально оно предназначалось только для дочерей дворянской знати, но уже год спустя было открыто отделение «для мещанских девиц», т.е. недворянских сословий, кроме крепостных крестьян. В шестилетнем возрасте девочки поступали на обучение, которое продолжалось двенадцать лет. Сначала воспитательное общество располагалось в Новодевичьем монастыре, в 1800-е гг. для института было построено специальное здание, учебное заведение стало именоваться Смольным институтом благородных девиц. В октябре 1917 года институт во главе с княгиней В.В. Голицыной переехал в Новочеркасск. В здании Смольного института стали располагаться Петроградский Совет рабочих и крестьянских депутатов и ЦИК Советов, а позднее Центральный и Петроградский комитеты большевиков. До 1991 года здесь размещались Областной и Городской комитеты ВКП(б) (позже КПСС), а с 1991 года - Администрация Санкт-Петербурга. Построен в 1806-1808 гг. Архитектор: Д. Кваренги","""Imperial educational society of noble maidens"" was founded on May 5, 1764 by Catherine II decree at the initiative of I.I. Betsky and became the Russia's first female educational institution. Originally it intended only for daughters of the noble nobility, but the office ""was open for petty-bourgeois maidens"", i.e. not nobility, except serfs already a year later. At six-year age of the girl arrived on training which twelve years proceeded. At first educational society settled down in the Novodevichy Convent, in the 1800th for institute the special building was built, the educational institution began to be called as Smolny institution for young ladies. In October, 1917 the institute headed by the princess V. V. Golitsynoy moved to Novocherkassk. In the building of Smolny of institute Petrograd Council of workers and country deputies and the Central Election Commission of Councils, and later the Central and Petrograd committees of Bolsheviks began to settle down. Till 1991 Regional and City committees of All-Union Communist Party (bolsheviks) (after CPSU), and since 1991 - Administration of St. Petersburg here took place. It is constructed in 1806-1808. Architect: D. Kvarengi","11:00–18:00, в пятницу с 15.00; выходные дни - суббота, воскресенье. Только экскурсионное обслуживание",0,59.946163,30.396433,1047844026933,7825453621
3298,Исаакиевский собор,St. Isaac's Cathedral,Обзорные,Россия,"Санкт-Петербург, Исаакиевская площадь, 4",4,Адмиралтейский район,муниципальный округ Адмиралтейский,Санкт-Петербург,Исаакиевская площадь,"Санкт-Петербург, Исаакиевская площадь, 4",Адмиралтейская,Фрунзенско-Приморская линия,0,59.935867,30.31523,+7(812)3159732;,www.cathedral.ru,,"Музей-памятник ""Исаакиевский собор"" - один из наиболее значительных художественных музеев России, пользующийся известностью во многих зарубежных странах.
  Исаакиевский собор - уникальный памятник отечественной архитектуры и один из лучших кафедральных соборов Европы. Это выдающийся образец русского культового искусства.","St. Isaac’s Cathedral is an outstanding monument of Russian architecture of the 19th century and one of the greatest dome constructions in the world, smaller in size only in comparison with the Cathedral of St. Peter in Rome, St. Paul’s Cathedral in London and Santa Maria del Fiore Cathedral in Florence","Собор преподобного Исаакия Далматского
Исаакиевский собор является крупнейшим православным храмом Санкт-Петербурга; имеет статус музея, но по особым праздникам проводятся богослужения. Высота собора 101.5 м, он является высотной доминантой центральной части города и одной из визитных карточек Петербурга. Собор по праву считается уникальным архитектурным сооружением, его отличает богатое убранство интерьеров и фасадов. Также собор известен своей колоннадой, с которой открываются восхитительные панорамы города. Построен в 1818-1858 гг. Архитектор: О. Монферран","Saint Isaakiya Dalmatsky's cathedral
St. Isaac's Cathedral is the largest orthodox temple of St. Petersburg; has the museum status, but on special holidays church services are carried out. Height of a cathedral of 101.5 m, it is a high-rise dominant of the central part of the city and one of cards of Petersburg. The cathedral by right is considered a unique architectural construction, it is distinguished by rich furniture of interiors and facades. Also the cathedral is known for the colonnade with which delightful panoramas of the city open. It is constructed in 1818-1858. Architect: O. Montferrand","пн,вт,чт,пт,сб,вс 11:00-18:00",0,59.934039,30.306129,1027810284810,7812025107
3299,Казанский Кафедральный Собор,Kazan Cathedral,Обзорные,Россия,"191186, Санкт-Петербург, Казанская пл., 2",2,Центральный район,муниципальный округ № 78,Санкт-Петербург,Казанская площадь,"Санкт-Петербург, Казанская площадь, 2",Невский Проспект,Московско-Петроградская линия,0,59.935421,30.327052,+7(812)3145856;,www.kazansky-spb.ru,sobor.go@mail.ru,"Казанский Кафедральный Собор - один из крупнейших храмов Санкт-Петербурга, выполненный в стиле ампир. Построен на Невском проспекте в 1801—1811 годах архитектором А. Н. Воронихиным для хранения чтимого списка чудотворной иконы Божией Матери Казанской. После Отечественной войны 1812 года приобрел значение памятника русской воинской славы. В 1813 году здесь был похоронен полководец М. И. Кутузов и помещены ключи от взятых городов и другие военные трофеи.","Kazan Cathedral, also known as the Cathedral of Our Lady of Kazan, is a cathedral of the Russian Orthodox Church on the Nevsky Prospekt in St. Petersburg. It is dedicated to Our Lady of Kazan, probably the most venerated icon in Russia.","Казанский кафедральный собор — главный храм Санкт-Петербургской епархии РПЦ, статус кафедрального получил в 2000 году. Фасады собора, декорированные скульптурами, скрыты грандиозной четырёхрядной колоннадой из 96 колонн. Казанский является собором русской воинской славы. Перед выездом к войскам летом 1812 года собор посещал М.И. Кутузов; в 1813 году прах светлейшего князя был захоронен в Казанском соборе. Перед западным фасадом собора расположена чугунная решётка, являющаяся шедевром литейного искусства. Построен в 1801-1811 гг. Архитектор: А.Н. Воронихин","Kazan Cathedral — the main temple of the St. Petersburg diocese of Russian Orthodox Church, the status cathedral received in 2000. The facades of a cathedral decorated by sculptures, are hidden by a grandiose four-row colonnade from 96 columns. Kazan is a cathedral of the Russian military glory. Before departure to armies in the summer of 1812 the cathedral was visited by M. I. Kutuzov; in 1813 ashes of the lightest prince were buried in Kazan Cathedral. Before the western facade of a cathedral the pig-iron lattice which is a masterpiece of foundry art is located. It is constructed in 1801-1811. Architect: A.N. Voronikhin",пн-сб 08:30-20:00; вс 06:30-20:00,0,59.934387,30.324738,1027810284810,7812025107
3304,Михайловский замок,Mikhailovsky Castle (Russian Museum),Тематический,Россия,"Санкт-Петербург, Садовая улица, 2",2,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,Садовая улица,"Санкт-Петербург, Садовая улица, 2",Гостиный Двор,Невско-Василеостровская линия,0,59.933938,30.333745,+7(812)5954248;,rusmuseum.ru,info@rusmuseum.ru,"Ансамбль Михайловского замка с двумя павильонами Кордегардий. 1797-1801 гг., архитекторы В. Бренна и В. Баженов. Единственное в России дворцовое сооружение в стиле романтического классицизма. Строился как парадная резиденция императора Павла I. Название получил в честь Архангела Михаила - небесного покровителя Дома Романовых. После убийства, произошедшего здесь в ночь с 11 на 12 марта 1801 года, замок потерял значение парадной резиденции, перешел в ведение Министерства Императорского двора и постепенно пришел в запустение. С 1823 года здесь разместилось Николаевское Инженерное училище, давшее замку новое название - Инженерный.","Among the galaxy of magnificent palaces and mansions of old St. Peterburg the Mikhailovskiy castle occupies a special place whilst still Grand Duke, Paul I was already considering building his own residence, and more then 10- years different architects like Vasiliy Bazhenov were involved in the project. But Emperor lived in it for only 40 days, he was murdered in his bedroom. After this bloody event in the castle was open the main Engeneering School.",Львы на памятнике: в одежде и на барельефе,Lions on a monument: in clothes and on a bas-relief,"пн,ср,пт, сб, вс 10:00-18:00; чт 13:00-21:00; ВТ - выходной",0,59.93989,30.337753,0,
3305,Музей антропологии и этнографии имени Петра Великого Российской Академии Наук (Кунсткамера),Peter the Great Museum of Anthropology and Ethnography of the Russian Academy of Sciences (Kunstkamera),Обзорные,Россия,"Санкт-Петербург, Университетская наб., 3",3,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,Университетская набережная,"Санкт-Петербург, Университетская набережная, 3",Адмиралтейская,Фрунзенско-Приморская линия,0,59.935867,30.31523,+7(812)3281412;,www.kunstkamera.ru,info@kunstkamera.ru; order@kunstkamera.ru,"Первый музей России, учреждённый императором Петром Первым в 1714 году. Обладает уникальной коллекцией предметов старины, раскрывающих историю и быт многих народов, а также коллекцией, собранной Петром Первым во время его путешествий.",The Kunstkamera was the first museum in Russia. Established by Peter the Great in 1714. It has anthropological and ethnographical collections on the culrures of people around the world and some items collected by Peter the Great in his travels.,"Коллекции Кунсткамеры (от нем. Kunstkammer — кабинет редкостей, музей) отражают многообразие культур народов Старого и Нового Света. В музее представлены экспозиции, посвященные народам Америки, Африки, Китая, Японии, Индонезии, Австралии, Океании и других стран. Особое внимание обращает на себя коллекция человеческих уродливостей, хранящихся в банках со спиртом, а также собрание сухих препаратов человека, например: сердца, легких и прочих, сохранившихся до сих пор и находящихся в витринах, под стеклом. Построена в 1718-1734 гг., 1754-1758 гг. Архитекторы: Г. Маттарнови, С.И. Чевакинский","Kunstkamera collections (from it. Kunstkammer — an office of rarities, the museum) reflect variety of cultures of the people of the Old and New World. In the museum the expositions devoted to the people of America, Africa, China, Japan, Indonesia, Australia, Oceania and other countries are presented. The special attention is paid on itself by a collection of the human urodlivost which are storing in banks with alcohol, and also meeting of dry preparations of the person, for example: the hearts, easy and other, saved still and being in show-windows, under glass. It is constructed in 1718-1734, 1754-1758. Architects: G. Mattarnovi, S. I. Chevakinsky","вт-вс 11:00-18:00, выходные дни - понедельник, последний вторник месяца",0,59.941442,30.304543,1037800013206,7801023852
3306,Новый Эрмитаж,The New Hermitage,Обзорные,Россия,"Санкт-Петербург, Миллионная улица, 35",35,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,Миллионная улица,"Санкт-Петербург, Миллионная улица, 35",Адмиралтейская,Фрунзенско-Приморская линия,0,59.935867,30.31523,+7(812)7109079;,http://www.hermitagemuseum.org/,visitorservices@hermitage.ru,Одно из зданий Государственного Эрмитажа,Part of the State Hermitage,"Здание Нового Эрмитажа было построено специально для размещения в нем коллекций Государственного Эрмитажа. Главным фасадом является фасад, выходящий на Миллионную улицу, его украшают десять изваяний атлантов, которые поддерживают балкон. Протяженный фасад здания, обращенный к набережной Зимней канавки, представляет собой галерею, которая является точной копией Лоджий в Ватиканском дворце. Среди внутренних интерьеров дворца особого внимания заслуживает парадная лестница с эффектными колоннадами, поддерживающими потолок. Построен в 1839-1852 гг. Архитекторы: Лео Кленце, В. Стасов, Н. Ефимов","The building of the New Hermitage was built specially for placement of collections of the State Hermitage in it. The main facade is the facade coming to Millionnaya Street, it is decorated by ten sculptures of Atlases which support a balcony. The extended facade of the building turned to the embankment of the Winter flute, represents gallery which is the exact copy of Loggias in the Vatican palace. Among internal interiors of the palace of special attention the front staircase with the effective colonnades supporting a ceiling deserves. It is constructed in 1839-1852. Architects: To Leo Klentsa, V. Stasov, N. Yefimov","Вт-вс: 10:30-18:00, среда - 10.30-21.00",0,59.94114,30.317611,1037843031808,7830002416
